smiles,inchi,total_score,raw_HEK_classifier,raw_CAPAN_classifier
C1CC(c2nc(N3CCOCC3)c3c(n(C4CC4)cn3)n2)CCN1C(=O)c1cccc(F)c1,"InChI=1S/C24H27FN6O2/c25-18-3-1-2-17(14-18)24(32)30-8-6-16(7-9-30)21-27-22(29-10-12-33-13-11-29)20-23(28-21)31(15-26-20)19-4-5-19/h1-3,14-16,19H,4-13H2",0.311206579208374,0.25,0.11
c1(NC(c2sccc2)=O)ccc(NC(=O)c2ccccc2)cc1,"InChI=1S/C18H14N2O2S/c21-17(13-5-2-1-3-6-13)19-14-8-10-15(11-9-14)20-18(22)16-7-4-12-23-16/h1-12H,(H,19,21)(H,20,22)",0.3800470232963562,0.32,0.13
c1c(NC(=O)c2sccc2)ccc(NC(=O)C2CCCCC2)c1,"InChI=1S/C18H20N2O2S/c21-17(13-5-2-1-3-6-13)19-14-8-10-15(11-9-14)20-18(22)16-7-4-12-23-16/h4,7-13H,1-3,5-6H2,(H,19,21)(H,20,22)",0.4233993589878082,0.35,0.08
c1c(NC(N2Cc3ccccc3C2)=O)ccc(C(N2CC(c3nc(C)n[nH]3)CC2)=O)c1,"InChI=1S/C23H24N6O2/c1-15-24-21(27-26-15)19-10-11-28(14-19)22(30)16-6-8-20(9-7-16)25-23(31)29-12-17-4-2-3-5-18(17)13-29/h2-9,19H,10-14H2,1H3,(H,25,31)(H,24,26,27)",0.3454524278640747,0.28,0.07
c1c(NC(=O)N2Cc3ccccc3C2)ccc(CCNC(=O)c2ccccc2C)c1,"InChI=1S/C25H25N3O2/c1-18-6-2-5-9-23(18)24(29)26-15-14-19-10-12-22(13-11-19)27-25(30)28-16-20-7-3-4-8-21(20)17-28/h2-13H,14-17H2,1H3,(H,26,29)(H,27,30)",0.1931697428226471,0.1,0.04
[nH]1cc(-c2nc(N3CCCC3)nc(N3CCOCC3)n2)ccc1=NC(=O)C1CC1,"InChI=1S/C20H25N7O2/c28-18(14-3-4-14)22-16-6-5-15(13-21-16)17-23-19(26-7-1-2-8-26)25-20(24-17)27-9-11-29-12-10-27/h5-6,13-14H,1-4,7-12H2,(H,21,22,28)",0.3223959505558014,0.26,0.1
c1ccc(Oc2c(NC(=O)N3CCCCC3)cccc2)cc1,"InChI=1S/C18H20N2O2/c21-18(20-13-7-2-8-14-20)19-16-11-5-6-12-17(16)22-15-9-3-1-4-10-15/h1,3-6,9-12H,2,7-8,13-14H2,(H,19,21)",0.2611557245254516,0.19,0.01
c1c(NC(=O)c2sccc2)ccc(NC(=O)c2sccc2)c1,"InChI=1S/C16H12N2O2S2/c19-15(13-3-1-9-21-13)17-11-5-7-12(8-6-11)18-16(20)14-4-2-10-22-14/h1-10H,(H,17,19)(H,18,20)",0.3690497279167175,0.31,0.13
c1c(OC)ccc(NC(C2CCCCC2)=O)c1,"InChI=1S/C14H19NO2/c1-17-13-9-7-12(8-10-13)15-14(16)11-5-3-2-4-6-11/h7-11H,2-6H2,1H3,(H,15,16)",0.3156764209270477,0.25,0.05
c1(NC(=O)N2Cc3ccccc3C2)ccc(C(N2CCOCC2)=O)cc1,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
c1(N2CCCC2)ccc(NC(c2sccc2)=O)cc1N1CCCC1,"InChI=1S/C19H23N3OS/c23-19(18-6-5-13-24-18)20-15-7-8-16(21-9-1-2-10-21)17(14-15)22-11-3-4-12-22/h5-8,13-14H,1-4,9-12H2,(H,20,23)",0.3074186742305755,0.25,0.13
c1(NC(N2Cc3ccccc3C2)=O)ccc(C(N2CCC(c3ccccc3)CC2)=O)cc1,"InChI=1S/C27H27N3O2/c31-26(29-16-14-21(15-17-29)20-6-2-1-3-7-20)22-10-12-25(13-11-22)28-27(32)30-18-23-8-4-5-9-24(23)19-30/h1-13,21H,14-19H2,(H,28,32)",0.3999687433242798,0.33,0.08
C(=O)(c1ccc(OCCN2CCOCC2)cc1)Nc1ccc(OCC)cc1,"InChI=1S/C21H26N2O4/c1-2-26-19-9-5-18(6-10-19)22-21(24)17-3-7-20(8-4-17)27-16-13-23-11-14-25-15-12-23/h3-10H,2,11-16H2,1H3,(H,22,24)",0.2870743870735168,0.22,0.05
c1(C(CC(C(=O)Nc2ccccc2)=O)=O)ccccc1,"InChI=1S/C16H13NO3/c18-14(12-7-3-1-4-8-12)11-15(19)16(20)17-13-9-5-2-6-10-13/h1-10H,11H2,(H,17,20)",0.2607662379741668,0.19,0.04
c1(NC(N2Cc3ccccc3C2)=O)ccc(C(N2CCCC(C)C2)=O)cc1,"InChI=1S/C22H25N3O2/c1-16-5-4-12-24(13-16)21(26)17-8-10-20(11-9-17)23-22(27)25-14-18-6-2-3-7-19(18)15-25/h2-3,6-11,16H,4-5,12-15H2,1H3,(H,23,27)",0.3159412443637848,0.25,0.04
c1cc(Oc2ccc(S(=O)(NC)=O)cc2)ccc1-c1sc(C)c(O)n1,"InChI=1S/C17H16N2O4S2/c1-11-16(20)19-17(24-11)12-3-5-13(6-4-12)23-14-7-9-15(10-8-14)25(21,22)18-2/h3-10,18,20H,1-2H3",0.2749301195144653,0.29,0.23
Cc1c(NC(N2CCc3cc(OC)ccc32)=O)cccc1,"InChI=1S/C17H18N2O2/c1-12-5-3-4-6-15(12)18-17(20)19-10-9-13-11-14(21-2)7-8-16(13)19/h3-8,11H,9-10H2,1-2H3,(H,18,20)",0.2213808447122573,0.14,0.01
c1(NC(=O)N2CCCCCC2)cc(C)c(NC(=O)c2ccccn2)cc1,"InChI=1S/C20H24N4O2/c1-15-14-16(22-20(26)24-12-6-2-3-7-13-24)9-10-17(15)23-19(25)18-8-4-5-11-21-18/h4-5,8-11,14H,2-3,6-7,12-13H2,1H3,(H,22,26)(H,23,25)",0.2990382015705108,0.24749666,0.15
c1cc(N=c2[nH]cnc3sc(C4=CCCCC4)cc32)c(C)cc1OCc1cccc(NC(=O)C)c1,"InChI=1S/C28H28N4O2S/c1-18-13-23(34-16-20-7-6-10-22(14-20)31-19(2)33)11-12-25(18)32-27-24-15-26(21-8-4-3-5-9-21)35-28(24)30-17-29-27/h6-8,10-15,17H,3-5,9,16H2,1-2H3,(H,31,33)(H,29,30,32)",0.590648353099823,0.6,0.22
c1c(NC(=O)N2Cc3ccccc3C2)ccc(C(=O)N2CCOCCC2)c1,"InChI=1S/C21H23N3O3/c25-20(23-10-3-12-27-13-11-23)16-6-8-19(9-7-16)22-21(26)24-14-17-4-1-2-5-18(17)15-24/h1-2,4-9H,3,10-15H2,(H,22,26)",0.3361707329750061,0.27,0.04
c1(N2CCOCC2)cc(NC(=O)c2cccnc2)ccc1N=c1[nH]cnc2c1cccc2,"InChI=1S/C24H22N6O2/c31-24(17-4-3-9-25-15-17)28-18-7-8-21(22(14-18)30-10-12-32-13-11-30)29-23-19-5-1-2-6-20(19)26-16-27-23/h1-9,14-16H,10-13H2,(H,28,31)(H,26,27,29)",0.8617836833000183,0.75,0.1
c1cc(NC(N2Cc3ccccc3C2)=O)ccc1C(=O)N1CCOCC1,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
N(c1cc(C)ccc1)C(=O)N1Cc2c(ccc(O)c2)CC1,"InChI=1S/C17H18N2O2/c1-12-3-2-4-15(9-12)18-17(21)19-8-7-13-5-6-16(20)10-14(13)11-19/h2-6,9-10,20H,7-8,11H2,1H3,(H,18,21)",0.278412789106369,0.21,0.03
c1(NCc2cccc(-c3cccc(COc4ccc5c(ccc(=O)o5)c4)c3)c2)ccc(C(=O)N2CCOCC2)cc1,"InChI=1S/C34H30N2O5/c37-33-14-9-29-21-31(12-13-32(29)41-33)40-23-25-4-2-6-28(20-25)27-5-1-3-24(19-27)22-35-30-10-7-26(8-11-30)34(38)36-15-17-39-18-16-36/h1-14,19-21,35H,15-18,22-23H2",0.2752076089382171,0.21,0.1
c1cc(N2CCCC2)ccc1NC(c1sccc1)=O,"InChI=1S/C15H16N2OS/c18-15(14-4-3-11-19-14)16-12-5-7-13(8-6-12)17-9-1-2-10-17/h3-8,11H,1-2,9-10H2,(H,16,18)",0.3464273512363434,0.3,0.16
c1ccc(N=c2[nH]c(N3CCCCC3)cc(C)n2)cc1C(=O)NC1CC1,"InChI=1S/C20H25N5O/c1-14-12-18(25-10-3-2-4-11-25)24-20(21-14)23-17-7-5-6-15(13-17)19(26)22-16-8-9-16/h5-7,12-13,16H,2-4,8-11H2,1H3,(H,22,26)(H,21,23,24)",0.1219136491417884,0.55,0.48
c1cc(OC)ccc1NC(N1Cc2c(cccc2)C1)=O,"InChI=1S/C16H16N2O2/c1-20-15-8-6-14(7-9-15)17-16(19)18-10-12-4-2-3-5-13(12)11-18/h2-9H,10-11H2,1H3,(H,17,19)",0.2068253606557846,0.12,0.03
c1(NC(=O)N2Cc3ccccc3C2)ccc(C(=O)N2CCCCCC2)cc1,"InChI=1S/C22H25N3O2/c26-21(24-13-5-1-2-6-14-24)17-9-11-20(12-10-17)23-22(27)25-15-18-7-3-4-8-19(18)16-25/h3-4,7-12H,1-2,5-6,13-16H2,(H,23,27)",0.3763589560985565,0.31,0.09
c1c2c(c(O)ccc2Br)sc1C(N1CCC(C)CC1)=O,"InChI=1S/C15H16BrNO2S/c1-9-4-6-17(7-5-9)15(19)13-8-10-11(16)2-3-12(18)14(10)20-13/h2-3,8-9,18H,4-7H2,1H3",0.2518860697746277,0.18,0.06
c1(NC(=O)N2Cc3ccccc3C2)ccc(C(N2CCN(c3ccccc3)CC2)=O)cc1,"InChI=1S/C26H26N4O2/c31-25(29-16-14-28(15-17-29)24-8-2-1-3-9-24)20-10-12-23(13-11-20)27-26(32)30-18-21-6-4-5-7-22(21)19-30/h1-13H,14-19H2,(H,27,32)",0.3454524278640747,0.28,0.07
c1(NC(=O)N2CCCCCC2)ccc(-c2oc3c(cc(NC(=O)C4CC4)cc3)c(=O)c2)cc1,"InChI=1S/C26H27N3O4/c30-22-16-24(33-23-12-11-20(15-21(22)23)27-25(31)18-5-6-18)17-7-9-19(10-8-17)28-26(32)29-13-3-1-2-4-14-29/h7-12,15-16,18H,1-6,13-14H2,(H,27,31)(H,28,32)",0.3463321626186371,0.28,0.05
c1c(-c2cc3c(sc(C(NCC4CCOCC4)=O)c3)nc2)ccnc1,"InChI=1S/C19H19N3O2S/c23-18(21-11-13-3-7-24-8-4-13)17-10-15-9-16(12-22-19(15)25-17)14-1-5-20-6-2-14/h1-2,5-6,9-10,12-13H,3-4,7-8,11H2,(H,21,23)",0.2970695495605469,0.23,0.01
c1c(NC(=O)N2Cc3c(cccc3)C2)ccc(C(=O)N2CCCCCC2)c1,"InChI=1S/C22H25N3O2/c26-21(24-13-5-1-2-6-14-24)17-9-11-20(12-10-17)23-22(27)25-15-18-7-3-4-8-19(18)16-25/h3-4,7-12H,1-2,5-6,13-16H2,(H,23,27)",0.3763589560985565,0.31,0.09
c1c(NC(=O)N2Cc3ccccc3C2)ccc(C(N2CCCC(OC)C2)=O)c1,"InChI=1S/C22H25N3O3/c1-28-20-7-4-12-24(15-20)21(26)16-8-10-19(11-9-16)23-22(27)25-13-17-5-2-3-6-18(17)14-25/h2-3,5-6,8-11,20H,4,7,12-15H2,1H3,(H,23,27)",0.2691600322723388,0.2,0.05
c1cc(NC(N2Cc3c(cccc3)C2)=O)ccc1C(=O)N1CCOCC1,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
c1cc(C)ccc1NC(=O)c1sccc1,"InChI=1S/C12H11NOS/c1-9-4-6-10(7-5-9)13-12(14)11-3-2-8-15-11/h2-8H,1H3,(H,13,14)",0.386333018541336,0.32,0.1
c1c(N)ccc2c(=NCC3CCCCC3)[nH]cnc12,"InChI=1S/C15H20N4/c16-12-6-7-13-14(8-12)18-10-19-15(13)17-9-11-4-2-1-3-5-11/h6-8,10-11H,1-5,9,16H2,(H,17,18,19)",0.360724538564682,0.3,0.12
c1c(NC(N2Cc3c(cccc3)C2)=O)ccc(C(=O)N2CCOCC2)c1,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
c1c(NC(=O)N2Cc3c(cccc3)C2)ccc(C(=O)N2CCCC2)c1,"InChI=1S/C20H21N3O2/c24-19(22-11-3-4-12-22)15-7-9-18(10-8-15)21-20(25)23-13-16-5-1-2-6-17(16)14-23/h1-2,5-10H,3-4,11-14H2,(H,21,25)",0.3554170131683349,0.29,0.08
c1c(NC(=O)N2Cc3c(cccc3)C2)ccc(C(NC2CCCCC2)=O)c1,"InChI=1S/C22H25N3O2/c26-21(23-19-8-2-1-3-9-19)16-10-12-20(13-11-16)24-22(27)25-14-17-6-4-5-7-18(17)15-25/h4-7,10-13,19H,1-3,8-9,14-15H2,(H,23,26)(H,24,27)",0.3125033974647522,0.25,0.1
c1(NC(=O)N2Cc3c(cccc3)C2)ccc(C(=O)N2CCCc3ccccc32)cc1,"InChI=1S/C25H23N3O2/c29-24(28-15-5-9-18-6-3-4-10-23(18)28)19-11-13-22(14-12-19)26-25(30)27-16-20-7-1-2-8-21(20)17-27/h1-4,6-8,10-14H,5,9,15-17H2,(H,26,30)",0.2360716760158538,0.16,0.05
c1c(N=CCCC)ccc(NC(=O)N2Cc3ccccc3C2)c1,"InChI=1S/C19H21N3O/c1-2-3-12-20-17-8-10-18(11-9-17)21-19(23)22-13-15-6-4-5-7-16(15)14-22/h4-12H,2-3,13-14H2,1H3,(H,21,23)",0.2059955447912216,0.12,0.07
c1c(NC(=O)c2sccc2)ccc(N2CCCCC2)c1,"InChI=1S/C16H18N2OS/c19-16(15-5-4-12-20-15)17-13-6-8-14(9-7-13)18-10-2-1-3-11-18/h4-9,12H,1-3,10-11H2,(H,17,19)",0.3539971113204956,0.32,0.18
c1(N2CCOCCC2)ccc(N=c2[nH]cnc3sccc32)cc1NC(=O)c1ccc(OC)cc1,"InChI=1S/C25H25N5O3S/c1-32-19-6-3-17(4-7-19)24(31)29-21-15-18(5-8-22(21)30-10-2-12-33-13-11-30)28-23-20-9-14-34-25(20)27-16-26-23/h3-9,14-16H,2,10-13H2,1H3,(H,29,31)(H,26,27,28)",0.837435245513916,0.76,0.15
c1c(OCCNCC2OC(c3ccccc3)(c3ccccc3)CCC2)cccc1,"InChI=1S/C26H29NO2/c1-4-11-22(12-5-1)26(23-13-6-2-7-14-23)18-10-17-25(29-26)21-27-19-20-28-24-15-8-3-9-16-24/h1-9,11-16,25,27H,10,17-21H2",0.3519404828548431,0.29,0.11
c1(NC(N2Cc3c(cccc3)C2)=O)ccc(C(N2CCCCC2)=O)cc1,"InChI=1S/C21H23N3O2/c25-20(23-12-4-1-5-13-23)16-8-10-19(11-9-16)22-21(26)24-14-17-6-2-3-7-18(17)15-24/h2-3,6-11H,1,4-5,12-15H2,(H,22,26)",0.3763589560985565,0.31,0.09
C(=O)(c1nnsc1)NC1CCCCC1,"InChI=1S/C9H13N3OS/c13-9(8-6-14-12-11-8)10-7-4-2-1-3-5-7/h6-7H,1-5H2,(H,10,13)",0.2611557245254516,0.19,0.01
c1cc(Cl)ccc1-c1[nH]c(=N)sc1-c1ccc2c(c1)nc[nH]2,"InChI=1S/C16H11ClN4S/c17-11-4-1-9(2-5-11)14-15(22-16(18)21-14)10-3-6-12-13(7-10)20-8-19-12/h1-8H,(H2,18,21)(H,19,20)",0.5103669166564941,0.5374967,0.23
c1c(NC(=O)N2Cc3c(cccc3)C2)ccc(C(N2CCN(C)CC2)=O)c1,"InChI=1S/C21H24N4O2/c1-23-10-12-24(13-11-23)20(26)16-6-8-19(9-7-16)22-21(27)25-14-17-4-2-3-5-18(17)15-25/h2-9H,10-15H2,1H3,(H,22,27)",0.3263090848922729,0.26,0.02
c1cc(NC(N2Cc3c(cccc3)C2)=O)ccc1C(=O)N1CCC(c2ccccc2)CC1,"InChI=1S/C27H27N3O2/c31-26(29-16-14-21(15-17-29)20-6-2-1-3-7-20)22-10-12-25(13-11-22)28-27(32)30-18-23-8-4-5-9-24(23)19-30/h1-13,21H,14-19H2,(H,28,32)",0.3999687433242798,0.33,0.08
c1cc(NC(=O)N2Cc3ccccc3C2)ccc1C(N1CCOCC1)=O,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
c1(NC(N2Cc3c(cccc3)C2)=O)ccc(C(=O)N2CCCCCC2)cc1,"InChI=1S/C22H25N3O2/c26-21(24-13-5-1-2-6-14-24)17-9-11-20(12-10-17)23-22(27)25-15-18-7-3-4-8-19(18)16-25/h3-4,7-12H,1-2,5-6,13-16H2,(H,23,27)",0.3763589560985565,0.31,0.09
c1(NC(=O)N2Cc3c(cccc3)C2)ccc(C(N2CCC(c3ccccc3)CC2)=O)cc1,"InChI=1S/C27H27N3O2/c31-26(29-16-14-21(15-17-29)20-6-2-1-3-7-20)22-10-12-25(13-11-22)28-27(32)30-18-23-8-4-5-9-24(23)19-30/h1-13,21H,14-19H2,(H,28,32)",0.3999687433242798,0.33,0.08
c1nc(N2CCCCC2)ccc1C(N1CCCCC1)=O,"InChI=1S/C16H23N3O/c20-16(19-11-5-2-6-12-19)14-7-8-15(17-13-14)18-9-3-1-4-10-18/h7-8,13H,1-6,9-12H2",0.3156764209270477,0.25,0.05
c1c(NC(=O)N2Cc3c(cccc3)C2)ccc(C(=O)N2CCCCC2)c1,"InChI=1S/C21H23N3O2/c25-20(23-12-4-1-5-13-23)16-8-10-19(11-9-16)22-21(26)24-14-17-6-2-3-7-18(17)15-24/h2-3,6-11H,1,4-5,12-15H2,(H,22,26)",0.3763589560985565,0.31,0.09
c1cc(NC(N2Cc3c(cccc3)C2)=O)ccc1C1CCCCC1,"InChI=1S/C21H24N2O/c24-21(23-14-18-8-4-5-9-19(18)15-23)22-20-12-10-17(11-13-20)16-6-2-1-3-7-16/h4-5,8-13,16H,1-3,6-7,14-15H2,(H,22,24)",0.3256694078445434,0.26,0.05
c1c(NC(N2Cc3ccccc3C2)=O)ccc(C(N2CCOCC2)=O)c1,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
C(c1c[nH]c(=NC)s1)c1cccc(NC(=O)c2cc3cccnc3cc2)c1,"InChI=1S/C21H18N4OS/c1-22-21-24-13-18(27-21)11-14-4-2-6-17(10-14)25-20(26)16-7-8-19-15(12-16)5-3-9-23-19/h2-10,12-13H,11H2,1H3,(H,22,24)(H,25,26)",0.2871886789798736,0.49,0.32
c1(N2CCOCC2)ccc(N=c2[nH]cnc3sccc23)cc1NC(c1ccc(OC2CCCCC2)cc1)=O,"InChI=1S/C29H31N5O3S/c35-28(20-6-9-23(10-7-20)37-22-4-2-1-3-5-22)33-25-18-21(8-11-26(25)34-13-15-36-16-14-34)32-27-24-12-17-38-29(24)31-19-30-27/h6-12,17-19,22H,1-5,13-16H2,(H,33,35)(H,30,31,32)",0.8263106346130371,0.82,0.18
c1cc(CN=c2[nH]c3c(scc3)c(C)n2)cc(NC(=O)C)c1,"InChI=1S/C16H16N4OS/c1-10-15-14(6-7-22-15)20-16(18-10)17-9-12-4-3-5-13(8-12)19-11(2)21/h3-8H,9H2,1-2H3,(H,19,21)(H,17,18,20)",0.3772875070571899,0.31,0.08
c1cc(NC(=NC2CCCCC2)C)cc2c1CCC2,"InChI=1S/C17H24N2/c1-13(18-16-8-3-2-4-9-16)19-17-11-10-14-6-5-7-15(14)12-17/h10-12,16H,2-9H2,1H3,(H,18,19)",0.2392633110284805,0.17,0.12
c1cc(OCCOc2c(N3CCOCC3)cc3c(c2)CCCN3)ccc1OC,"InChI=1S/C22H28N2O4/c1-25-18-4-6-19(7-5-18)27-13-14-28-22-15-17-3-2-8-23-20(17)16-21(22)24-9-11-26-12-10-24/h4-7,15-16,23H,2-3,8-14H2,1H3",0.3361707329750061,0.27,0.04
c1(-c2cc3c(sc(=NC(=O)NC)[nH]3)nc2)cc(NC(=O)NC2CC2)ccc1,"InChI=1S/C18H18N6O2S/c1-19-16(25)24-18-23-14-8-11(9-20-15(14)27-18)10-3-2-4-13(7-10)22-17(26)21-12-5-6-12/h2-4,7-9,12H,5-6H2,1H3,(H2,21,22,26)(H2,19,23,24,25)",0.3844521343708038,0.38,0.21
c1c(NC(=O)N2Cc3cnccc3C2)ccc(C(=O)N2CCCCCC2)c1,"InChI=1S/C21H24N4O2/c26-20(24-11-3-1-2-4-12-24)16-5-7-19(8-6-16)23-21(27)25-14-17-9-10-22-13-18(17)15-25/h5-10,13H,1-4,11-12,14-15H2,(H,23,27)",0.3028372228145599,0.24,0.1
c1(NC(=O)N2Cc3c(cccc3)C2)ccc(C(N2CCOCC2)=O)cc1,"InChI=1S/C20H21N3O3/c24-19(22-9-11-26-12-10-22)15-5-7-18(8-6-15)21-20(25)23-13-16-3-1-2-4-17(16)14-23/h1-8H,9-14H2,(H,21,25)",0.3989843726158142,0.33,0.09
c1(NC(N2Cc3ccccc3C2)=O)ccc(C(N2CCCCC2)=O)cc1,"InChI=1S/C21H23N3O2/c25-20(23-12-4-1-5-13-23)16-8-10-19(11-9-16)22-21(26)24-14-17-6-2-3-7-18(17)15-24/h2-3,6-11H,1,4-5,12-15H2,(H,22,26)",0.3763589560985565,0.31,0.09
c1[nH]c(=NC(=O)NC2CCCCC2)sc1,"InChI=1S/C10H15N3OS/c14-9(13-10-11-6-7-15-10)12-8-4-2-1-3-5-8/h6-8H,1-5H2,(H2,11,12,13,14)",0.4291506111621856,0.37,0.15
c1c(NC(c2snc3ccccc23)=O)ccc(OCc2ccccc2)c1,"InChI=1S/C21H16N2O2S/c24-21(20-18-8-4-5-9-19(18)23-26-20)22-16-10-12-17(13-11-16)25-14-15-6-2-1-3-7-15/h1-13H,14H2,(H,22,24)",0.2684763073921203,0.2,0.07
c1(NC(=O)N2Cc3ccccc3C2)ccc(C(N2CCCCC2)=O)cc1,"InChI=1S/C21H23N3O2/c25-20(23-12-4-1-5-13-23)16-8-10-19(11-9-16)22-21(26)24-14-17-6-2-3-7-18(17)15-24/h2-3,6-11H,1,4-5,12-15H2,(H,22,26)",0.3763589560985565,0.31,0.09
c1(NC(=O)N2CCOCC2)ccc(C(N2CCCCCC2)=O)cc1,"InChI=1S/C18H25N3O3/c22-17(20-9-3-1-2-4-10-20)15-5-7-16(8-6-15)19-18(23)21-11-13-24-14-12-21/h5-8H,1-4,9-14H2,(H,19,23)",0.3785460889339447,0.31,0.06
c1(N2CCC(C)CC2)cc(NC(=O)c2cccnc2)ccc1N=c1[nH]cnc2c1cccc2,"InChI=1S/C26H26N6O/c1-18-10-13-32(14-11-18)24-15-20(30-26(33)19-5-4-12-27-16-19)8-9-23(24)31-25-21-6-2-3-7-22(21)28-17-29-25/h2-9,12,15-18H,10-11,13-14H2,1H3,(H,30,33)(H,28,29,31)",0.8513218760490417,0.76749665,0.14
c1cc(NC(c2cnc(OC)cn2)=O)ccc1N1CCCC1c1cccc(OC)c1,"InChI=1S/C23H24N4O3/c1-29-19-6-3-5-16(13-19)21-7-4-12-27(21)18-10-8-17(9-11-18)26-23(28)20-14-25-22(30-2)15-24-20/h3,5-6,8-11,13-15,21H,4,7,12H2,1-2H3,(H,26,28)",0.3554170131683349,0.29,0.08
