smiles,inchi,total_score,raw_HEK_classifier,raw_CFPAC_classifier
c1c(-c2ccc(NC3CC3)c(NC(=O)NCC3C4CCC(C3)C4)c2)cccc1OC1CCCC1,"InChI=1S/C29H37N3O2/c33-29(30-18-23-15-19-8-9-21(23)14-19)32-28-17-22(10-13-27(28)31-24-11-12-24)20-4-3-7-26(16-20)34-25-5-1-2-6-25/h3-4,7,10,13,16-17,19,21,23-25,31H,1-2,5-6,8-9,11-12,14-15,18H2,(H2,30,32,33)",0.278412789106369,0.21,0.03
c1cc(OCc2cnc(CCCC)s2)ccc1CNC1CC1,"InChI=1S/C18H24N2OS/c1-2-3-4-18-20-12-17(22-18)13-21-16-9-5-14(6-10-16)11-19-15-7-8-15/h5-6,9-10,12,15,19H,2-4,7-8,11,13H2,1H3",0.2968158721923828,0.23,0.03
c1cccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)c1NC(=O)c1ccc(N2CCCCC2)cc1,"InChI=1S/C27H32N6O2/c1-20-19-25(33-15-17-35-18-16-33)31-27(28-20)30-24-8-4-3-7-23(24)29-26(34)21-9-11-22(12-10-21)32-13-5-2-6-14-32/h3-4,7-12,19H,2,5-6,13-18H2,1H3,(H,29,34)(H,28,30,31)",0.8695072531700134,0.8,0.14
c1(-c2sc3ccccc3n2)c(-c2ccc(C)s2)[nH]c(=NCC(C)NCC2CC2)s1,"InChI=1S/C22H24N4S3/c1-13(23-12-15-8-9-15)11-24-22-26-19(18-10-7-14(2)27-18)20(29-22)21-25-16-5-3-4-6-17(16)28-21/h3-7,10,13,15,23H,8-9,11-12H2,1-2H3,(H,24,26)",0.3723443448543548,0.33749667,0.18
Cc1c2c(cc(Oc3cc(=NC(=O)C4CC4)[nH]cc3)cc2)nc(C)c1,"InChI=1S/C20H19N3O2/c1-12-9-13(2)22-18-10-15(5-6-17(12)18)25-16-7-8-21-19(11-16)23-20(24)14-3-4-14/h5-11,14H,3-4H2,1-2H3,(H,21,23,24)",0.283388078212738,0.41,0.29
n1[nH]c(=NC(=O)Nc2c3ccccc3ccc2)sc1-c1cocc1,"InChI=1S/C17H12N4O2S/c22-16(18-14-7-3-5-11-4-1-2-6-13(11)14)19-17-21-20-15(24-17)12-8-9-23-10-12/h1-10H,(H2,18,19,21,22)",0.4026825726032257,0.33,0.01
N(c1ccc(N=c2[nH]cnc3ccccc32)cc1)=c1[nH]cccn1,"InChI=1S/C18H14N6/c1-2-5-16-15(4-1)17(22-12-21-16)23-13-6-8-14(9-7-13)24-18-19-10-3-11-20-18/h1-12H,(H,19,20,24)(H,21,22,23)",0.8771547675132751,0.8,0.13
[nH]1c2[nH]cnc(=NCC3CC3)c2c(-c2cn(C)nc2)c1-c1cccs1,"InChI=1S/C18H18N6S/c1-24-9-12(8-22-24)14-15-17(19-7-11-4-5-11)20-10-21-18(15)23-16(14)13-3-2-6-25-13/h2-3,6,8-11H,4-5,7H2,1H3,(H2,19,20,21,23)",0.3132714629173279,0.35,0.24
c1(-c2[nH]sc(=NC(=O)c3ccc(CN4CCOCC4)cc3)n2)ccc2c(sc(=NC(=O)C3CC3)[nH]2)c1,"InChI=1S/C25H24N6O3S2/c32-22(17-5-6-17)28-24-26-19-8-7-18(13-20(19)35-24)21-27-25(36-30-21)29-23(33)16-3-1-15(2-4-16)14-31-9-11-34-12-10-31/h1-4,7-8,13,17H,5-6,9-12,14H2,(H,26,28,32)(H,27,29,30,33)",0.4458171725273132,0.38,0.14
c1c(N=c2[nH]cc[nH]2)ccc(NC(=O)c2ccc(N3CCCC3)cc2)c1C,"InChI=1S/C21H23N5O/c1-15-14-17(24-21-22-10-11-23-21)6-9-19(15)25-20(27)16-4-7-18(8-5-16)26-12-2-3-13-26/h4-11,14H,2-3,12-13H2,1H3,(H,25,27)(H2,22,23,24)",0.4417279660701751,0.6,0.28
c1(-c2nc3cnc(N4CCOCC4)cc3nc2N2CCOCC2)cnc(N2CCOCC2)cc1,"InChI=1S/C24H29N7O3/c1-2-21(29-3-9-32-10-4-29)25-16-18(1)23-24(31-7-13-34-14-8-31)28-19-15-22(26-17-20(19)27-23)30-5-11-33-12-6-30/h1-2,15-17H,3-14H2",0.2740846872329712,0.22,0.15
c1c(N2CCOCC2)c[nH]c(=NC(NCc2ccc(NS(=O)(=O)c3ccccc3)cc2)=O)c1,"InChI=1S/C23H25N5O4S/c29-23(26-22-11-10-20(17-24-22)28-12-14-32-15-13-28)25-16-18-6-8-19(9-7-18)27-33(30,31)21-4-2-1-3-5-21/h1-11,17,27H,12-16H2,(H2,24,25,26,29)",0.3234315812587738,0.26,0.09
N(c1c(-c2nc3ccccc3[nH]2)cccc1)C(=O)c1ccc(CC2CCN(C3COC3)CC2)cc1,"InChI=1S/C29H30N4O2/c34-29(32-25-6-2-1-5-24(25)28-30-26-7-3-4-8-27(26)31-28)22-11-9-20(10-12-22)17-21-13-15-33(16-14-21)23-18-35-19-23/h1-12,21,23H,13-19H2,(H,30,31)(H,32,34)",0.4223572909832001,0.35,0.09
c1cccc(N=c2[nH]c(N3CCOCCC3)cc(C)n2)c1NC(c1ccc(N2CCCCC2)cc1)=O,"InChI=1S/C28H34N6O2/c1-21-20-26(34-16-7-18-36-19-17-34)32-28(29-21)31-25-9-4-3-8-24(25)30-27(35)22-10-12-23(13-11-22)33-14-5-2-6-15-33/h3-4,8-13,20H,2,5-7,14-19H2,1H3,(H,30,35)(H,29,31,32)",0.8599602580070496,0.8,0.15
c1(-c2onc(C3CC3)n2)cc(-c2scc(C3CNCCC3)n2)c[nH]c1=O,"InChI=1S/C18H19N5O2S/c24-16-13(17-22-15(23-25-17)10-3-4-10)6-12(8-20-16)18-21-14(9-26-18)11-2-1-5-19-7-11/h6,8-11,19H,1-5,7H2,(H,20,24)",0.2927272319793701,0.22749667,0.08
c1(-c2sc3ccccc3n2)c(-c2c[nH]c(=NCCCOc3ccccn3)nc2)cc[nH]c1=O,"InChI=1S/C24H20N6O2S/c31-22-21(23-30-18-6-1-2-7-19(18)33-23)17(9-12-26-22)16-14-28-24(29-15-16)27-11-5-13-32-20-8-3-4-10-25-20/h1-4,6-10,12,14-15H,5,11,13H2,(H,26,31)(H,27,28,29)",0.5561211109161377,0.51,0.19
N(c1ccc(NC(c2occc2)=O)cc1)=c1[nH]c(N2CCOCCC2)cc(C)n1,"InChI=1S/C21H23N5O3/c1-15-14-19(26-9-3-11-28-13-10-26)25-21(22-15)24-17-7-5-16(6-8-17)23-20(27)18-4-2-12-29-18/h2,4-8,12,14H,3,9-11,13H2,1H3,(H,23,27)(H,22,24,25)",0.8430300354957581,0.79,0.16
c1c2c([nH]c(=NC(=O)NC3CCc4ccc(Cl)cc43)[nH]2)ccc1,"InChI=1S/C17H15ClN4O/c18-11-7-5-10-6-8-13(12(10)9-11)21-17(23)22-16-19-14-3-1-2-4-15(14)20-16/h1-5,7,9,13H,6,8H2,(H3,19,20,21,22,23)",0.3141545355319977,0.28,0.18
c1(-c2cn(C)c(C(=O)Nc3cnccc3)c2)cncc(OCCN)c1,"InChI=1S/C18H19N5O2/c1-23-12-14(13-7-16(11-21-9-13)25-6-4-19)8-17(23)18(24)22-15-3-2-5-20-10-15/h2-3,5,7-12H,4,6,19H2,1H3,(H,22,24)",0.5617894530296326,0.47,0.13
[nH]1nc(-c2[nH]nc3cc(NC4CC4)ccc32)cc1-c1sc2ccccc2c1,"InChI=1S/C21H17N5S/c1-2-4-19-12(3-1)9-20(27-19)17-11-18(25-24-17)21-15-8-7-14(22-13-5-6-13)10-16(15)23-26-21/h1-4,7-11,13,22H,5-6H2,(H,23,26)(H,24,25)",0.4407536089420318,0.37,0.12
c1c(-c2sc3ccccc3n2)ccc(NC(=O)Nc2cc3ccccc3nc2)c1,"InChI=1S/C23H16N4OS/c28-23(26-18-13-16-5-1-2-6-19(16)24-14-18)25-17-11-9-15(10-12-17)22-27-20-7-3-4-8-21(20)29-22/h1-14H,(H2,25,26,28)",0.5816903114318848,0.51,0.17
c1c(-c2nc(-c3cn[nH]c3)[nH]c2)ccc(-c2c[nH]nc2)c1C(Nc1c(C)n[nH]c1C)=O,"InChI=1S/C21H19N9O/c1-11-19(12(2)30-29-11)28-21(31)17-5-13(3-4-16(17)14-6-23-24-7-14)18-10-22-20(27-18)15-8-25-26-9-15/h3-10H,1-2H3,(H,22,27)(H,23,24)(H,25,26)(H,28,31)(H,29,30)",0.3869881629943847,0.45,0.25
c1c(Oc2ccc(NC(=O)Nc3ccc(N4CCCCC4)cc3)cc2)ccnc1,"InChI=1S/C23H24N4O2/c28-23(25-18-4-8-20(9-5-18)27-16-2-1-3-17-27)26-19-6-10-21(11-7-19)29-22-12-14-24-15-13-22/h4-15H,1-3,16-17H2,(H2,25,26,28)",0.8582074642181396,0.75,0.11
n1cc(-c2cn3c(ncn3)cc2)ccc1N1CCCC1,"InChI=1S/C15H15N5/c1-2-8-19(7-1)14-5-3-12(9-16-14)13-4-6-15-17-11-18-20(15)10-13/h3-6,9-11H,1-2,7-8H2",0.3148745596408844,0.25,0.07
n1cc(OCc2ccccc2)c(N2CCNCCC2)cc1,"InChI=1S/C17H21N3O/c1-2-5-15(6-3-1)14-21-17-13-19-9-7-16(17)20-11-4-8-18-10-12-20/h1-3,5-7,9,13,18H,4,8,10-12,14H2",0.2360919862985611,0.16,0.04909091
c1(=N)[nH]c(=N)[nH]c(-c2cc3c(cc2)CCCC32CCCCC2)c1,"InChI=1S/C19H24N4/c20-17-12-16(22-18(21)23-17)14-7-6-13-5-4-10-19(15(13)11-14)8-2-1-3-9-19/h6-7,11-12H,1-5,8-10H2,(H4,20,21,22,23)",0.1902749091386795,0.1,0.11
n1cc(-c2cncnc2)cc(N=c2nc[nH]c(N3CCCCCC3)c2)c1F,"InChI=1S/C19H20FN7/c20-19-16(7-14(11-23-19)15-9-21-12-22-10-15)26-17-8-18(25-13-24-17)27-5-3-1-2-4-6-27/h7-13H,1-6H2,(H,24,25,26)",0.3847298324108124,0.32,0.11
c1(-c2c[nH]c(=N)c(-c3cnn(C4CC4)c3)c2)nc(=N)[nH]cc1,"InChI=1S/C15H15N7/c16-14-12(10-7-20-22(8-10)11-1-2-11)5-9(6-19-14)13-3-4-18-15(17)21-13/h3-8,11H,1-2H2,(H2,16,19)(H2,17,18,21)",0.2715589702129364,0.25,0.2
c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(=O)c1cccc(NC(=O)c2ccncc2)c1,"InChI=1S/C30H31N7O2/c1-21-19-27(37-17-4-2-3-5-18-37)36-30(32-21)35-25-11-9-24(10-12-25)33-29(39)23-7-6-8-26(20-23)34-28(38)22-13-15-31-16-14-22/h6-16,19-20H,2-5,17-18H2,1H3,(H,33,39)(H,34,38)(H,32,35,36)",0.851030170917511,0.97,0.19
c1(-c2nc(-c3c[nH]c(=N)c(OC4CCOCC4)c3)[nH]n2)c[nH]c(=NC2CC2)cc1,"InChI=1S/C20H23N7O2/c21-18-16(29-15-5-7-28-8-6-15)9-13(11-23-18)20-25-19(26-27-20)12-1-4-17(22-10-12)24-14-2-3-14/h1,4,9-11,14-15H,2-3,5-8H2,(H2,21,23)(H,22,24)(H,25,26,27)",0.4898367822170257,0.41,0.12
c12[nH]c(=N)sc1[nH]c(=NC1CCCCC1)nc2NC1CCCC1,"InChI=1S/C16H24N6S/c17-15-20-12-13(18-10-8-4-5-9-10)21-16(22-14(12)23-15)19-11-6-2-1-3-7-11/h10-11H,1-9H2,(H2,17,20)(H2,18,19,21,22)",0.3751538395881653,0.31,0.1
c1(C)[nH]c2[nH]c(=N)[nH]c(=NCC3CCCOC3)c2c1-c1sc2c(c1)cccc2,"InChI=1S/C21H23N5OS/c1-12-17(16-9-14-6-2-3-7-15(14)28-16)18-19(25-21(22)26-20(18)24-12)23-10-13-5-4-8-27-11-13/h2-3,6-7,9,13H,4-5,8,10-11H2,1H3,(H4,22,23,24,25,26)",0.3912357687950134,0.33,0.13
c1(-c2c3[nH]c(=NC4=NCCN4)[nH]c3ccc2)ccc(OC)nc1,"InChI=1S/C16H16N6O/c1-23-13-6-5-10(9-19-13)11-3-2-4-12-14(11)21-16(20-12)22-15-17-7-8-18-15/h2-6,9H,7-8H2,1H3,(H3,17,18,20,21,22)",0.5177232027053833,0.43,0.11
c1(C(=O)c2c[nH]c3ccc(O)cc32)c[nH]c(=NC2CCCC2)cc1,"InChI=1S/C19H19N3O2/c23-14-6-7-17-15(9-14)16(11-20-17)19(24)12-5-8-18(21-10-12)22-13-3-1-2-4-13/h5-11,13,20,23H,1-4H2,(H,21,22)",0.2999667227268219,0.24,0.12
N=c1[nH]c(=N)[nH]c(=NCc2cc(OC)ccc2OCCc2ccccc2)[nH]1,"InChI=1S/C19H22N6O2/c1-26-15-7-8-16(27-10-9-13-5-3-2-4-6-13)14(11-15)12-22-19-24-17(20)23-18(21)25-19/h2-8,11H,9-10,12H2,1H3,(H5,20,21,22,23,24,25)",0.4087981581687927,0.38,0.19
c1cc2c(cc1NCC1CCCCCC1)[nH]c(=NC(=O)C1CC1)[nH]2,"InChI=1S/C19H26N4O/c24-18(14-7-8-14)23-19-21-16-10-9-15(11-17(16)22-19)20-12-13-5-3-1-2-4-6-13/h9-11,13-14,20H,1-8,12H2,(H2,21,22,23,24)",0.4741257131099701,0.4,0.13
c1c(-c2cc3c([nH]c(=N)s3)cc2)cc(NC=c2c(C)cc(=C)[nH]2)c(OC)c1,"InChI=1S/C21H20N4OS/c1-12-8-13(2)24-18(12)11-23-17-9-14(5-7-19(17)26-3)15-4-6-16-20(10-15)27-21(22)25-16/h4-11,23-24H,2H2,1,3H3,(H2,22,25)",0.6576652526855469,0.59,0.18
c12[nH]c(=NCc3[nH]cnc3)sc1CN(CC1CCCCC1)CC2,"InChI=1S/C17H25N5S/c1-2-4-13(5-3-1)10-22-7-6-15-16(11-22)23-17(21-15)19-9-14-8-18-12-20-14/h8,12-13H,1-7,9-11H2,(H,18,20)(H,19,21)",0.2598858177661896,0.19,0.07
c1(N=c2[nH]c(N3CCOCCC3)cc(C)n2)cc(C)c(NC(N2CCCCC2)=O)cc1,"InChI=1S/C23H32N6O2/c1-17-15-19(7-8-20(17)26-23(30)29-9-4-3-5-10-29)25-22-24-18(2)16-21(27-22)28-11-6-13-31-14-12-28/h7-8,15-16H,3-6,9-14H2,1-2H3,(H,26,30)(H,24,25,27)",0.8398386240005493,0.73,0.12
[nH]1c(=Nc2cc3c(cc2)[nH]c(=NCC(=O)NCCN)s3)[nH]c2cc(Cl)ccc2c1=O,"InChI=1S/C19H18ClN7O2S/c20-10-1-3-12-14(7-10)25-18(27-17(12)29)24-11-2-4-13-15(8-11)30-19(26-13)23-9-16(28)22-6-5-21/h1-4,7-8H,5-6,9,21H2,(H,22,28)(H,23,26)(H2,24,25,27,29)",0.314921110868454,0.25,0.06909091
c1cccc(NC(=O)Nc2cnc(-c3[nH]ccn3)c(-c3ccc(N4CCOCC4)cc3)c2)c1,"InChI=1S/C25H24N6O2/c32-25(29-19-4-2-1-3-5-19)30-20-16-22(23(28-17-20)24-26-10-11-27-24)18-6-8-21(9-7-18)31-12-14-33-15-13-31/h1-11,16-17H,12-15H2,(H,26,27)(H2,29,30,32)",0.4323057532310486,0.5,0.25
c1(-c2sc3c(=N)[nH][nH]c3c2)c[nH]c(=NCc2cnccc2)cc1,"InChI=1S/C16H14N6S/c17-16-15-12(21-22-16)6-13(23-15)11-3-4-14(20-9-11)19-8-10-2-1-5-18-7-10/h1-7,9H,8H2,(H,19,20)(H3,17,21,22)",0.535005509853363,0.48,0.18
c1ccc2c(ccc(-c3c[nH]c(=N)c(C(=O)NC4(CO)CC4)n3)c2)c1,"InChI=1S/C19H18N4O2/c20-17-16(18(25)23-19(11-24)7-8-19)22-15(10-21-17)14-6-5-12-3-1-2-4-13(12)9-14/h1-6,9-10,24H,7-8,11H2,(H2,20,21)(H,23,25)",0.3361828327178955,0.29,0.16
c1cccc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)c1NC(=O)c1ccc(N2CCOCC2)cc1,"InChI=1S/C28H34N6O2/c1-21-20-26(34-14-6-2-3-7-15-34)32-28(29-21)31-25-9-5-4-8-24(25)30-27(35)22-10-12-23(13-11-22)33-16-18-36-19-17-33/h4-5,8-13,20H,2-3,6-7,14-19H2,1H3,(H,30,35)(H,29,31,32)",0.8695072531700134,0.8,0.14
c1c(O)cc2c([nH]c(=NCC3CCCCC3)[nH]2)c1,"InChI=1S/C14H19N3O/c18-11-6-7-12-13(8-11)17-14(16-12)15-9-10-4-2-1-3-5-10/h6-8,10,18H,1-5,9H2,(H2,15,16,17)",0.4221531748771667,0.36,0.14
N(c1ccc(NC(=O)c2oc(-c3ccccc3)cc2)cc1)=C1CCCCC1,"InChI=1S/C23H22N2O2/c26-23(22-16-15-21(27-22)17-7-3-1-4-8-17)25-20-13-11-19(12-14-20)24-18-9-5-2-6-10-18/h1,3-4,7-8,11-16H,2,5-6,9-10H2,(H,25,26)",0.216572880744934,0.14,0.12
c1c(-c2ccc(-c3[nH]c4c(CN5CCCC5)cccc4n3)cc2)cccc1NC(=O)c1sccc1,"InChI=1S/C29H26N4OS/c34-29(26-10-5-17-35-26)30-24-8-3-6-22(18-24)20-11-13-21(14-12-20)28-31-25-9-4-7-23(27(25)32-28)19-33-15-1-2-16-33/h3-14,17-18H,1-2,15-16,19H2,(H,30,34)(H,31,32)",0.3566026389598846,0.29,0.06
c1nc2c(Nc3ccc(NC4CCCCC4)cc3)cc(C)cc2cc1,"InChI=1S/C22H25N3/c1-16-14-17-6-5-13-23-22(17)21(15-16)25-20-11-9-19(10-12-20)24-18-7-3-2-4-8-18/h5-6,9-15,18,24-25H,2-4,7-8H2,1H3",0.4045946300029754,0.61749667,0.3
c1(N2CCOCC2)c(-c2c[nH]c(=N)nc2)nsc1C1CC1,"InChI=1S/C14H17N5OS/c15-14-16-7-10(8-17-14)11-12(19-3-5-20-6-4-19)13(21-18-11)9-1-2-9/h7-9H,1-6H2,(H2,15,16,17)",0.3040282428264618,0.31,0.22
N1=CC=CC1NC(c1cc(-c2[nH]c(=N)[nH]c(=O)c2)ccc1)=O,"InChI=1S/C15H13N5O2/c16-15-18-11(8-13(21)20-15)9-3-1-4-10(7-9)14(22)19-12-5-2-6-17-12/h1-8,12H,(H,19,22)(H3,16,18,20,21)",0.0,0.51,0.2
COc1cc(-c2c[nH]c(=NCc3ccccc3)c(-c3cccnc3)c2)c[nH]c1=N,"InChI=1S/C23H21N5O/c1-29-21-11-19(14-26-22(21)24)18-10-20(17-8-5-9-25-13-17)23(28-15-18)27-12-16-6-3-2-4-7-16/h2-11,13-15H,12H2,1H3,(H2,24,26)(H,27,28)",0.2959352433681488,0.33,0.24
c12[nH]c(=O)ncc1c(-c1ccc(-c3cn(C4CC4)nc3)cc1)nc(N1CCOCC1)n2,"InChI=1S/C22H21N7O2/c30-22-23-12-18-19(25-21(26-20(18)27-22)28-7-9-31-10-8-28)15-3-1-14(2-4-15)16-11-24-29(13-16)17-5-6-17/h1-4,11-13,17H,5-10H2,(H,23,25,26,27,30)",0.3306611180305481,0.28,0.15
c1c(-c2c(C)[nH]c(=NC(=O)C3CC3)s2)ccc(-c2[nH]c(=NC3CC3)nc(C)c2)c1,"InChI=1S/C22H23N5OS/c1-12-11-18(26-21(23-12)25-17-9-10-17)14-3-5-15(6-4-14)19-13(2)24-22(29-19)27-20(28)16-7-8-16/h3-6,11,16-17H,7-10H2,1-2H3,(H,23,25,26)(H,24,27,28)",0.3428510129451751,0.28,0.1
s1c2[nH]c(=NC(=O)NC3CC3c3ccccc3)[nH]c2cc1F,"InChI=1S/C15H13FN4OS/c16-12-7-11-13(22-12)19-14(17-11)20-15(21)18-10-6-9(10)8-4-2-1-3-5-8/h1-5,7,9-10H,6H2,(H3,17,18,19,20,21)",0.358034610748291,0.29749668,0.12
c1(OCc2ccccc2)cccc(Nc2ccc3c(c2)CCC3N2CCCC2)c1,"InChI=1S/C26H28N2O/c1-2-7-20(8-3-1)19-29-24-10-6-9-22(18-24)27-23-12-13-25-21(17-23)11-14-26(25)28-15-4-5-16-28/h1-3,6-10,12-13,17-18,26-27H,4-5,11,14-16,19H2",0.4511561095714569,0.40749666,0.1790909
c1(-c2cn[nH]c2)c[nH]c(=NCCCc2ccccc2)cc1,"InChI=1S/C17H18N4/c1-2-5-14(6-3-1)7-4-10-18-17-9-8-15(11-19-17)16-12-20-21-13-16/h1-3,5-6,8-9,11-13H,4,7,10H2,(H,18,19)(H,20,21)",0.3439523577690124,0.28,0.09
c1(OC)ccc(-c2[nH]c(=O)c3c(ccs3)c2-c2cccc(=NCC3CC3)[nH]2)cc1OC,"InChI=1S/C24H23N3O3S/c1-29-18-9-8-15(12-19(18)30-2)22-21(16-10-11-31-23(16)24(28)27-22)17-4-3-5-20(26-17)25-13-14-6-7-14/h3-5,8-12,14H,6-7,13H2,1-2H3,(H,25,26)(H,27,28)",0.4803780913352966,0.39749667,0.09
c1(Oc2ccnc(N3CCOCC3)c2)ccc(NC(=O)C2CC2)cc1,"InChI=1S/C19H21N3O3/c23-19(14-1-2-14)21-15-3-5-16(6-4-15)25-17-7-8-20-18(13-17)22-9-11-24-12-10-22/h3-8,13-14H,1-2,9-12H2,(H,21,23)",0.5710814595222473,0.47,0.1
c1c(NCc2n[nH]c(=S)n2-c2ccccc2)ccc2c1c1ccccc1[nH]2,"InChI=1S/C21H17N5S/c27-21-25-24-20(26(21)15-6-2-1-3-7-15)13-22-14-10-11-19-17(12-14)16-8-4-5-9-18(16)23-19/h1-12,22-23H,13H2,(H,25,27)",0.2966459393501282,0.23,0.03909091
[nH]1cc(-c2ncc[nH]2)cc1-c1c[nH]c(=NC2CC2)nc1OC1CCCCC1,"InChI=1S/C20H24N6O/c1-2-4-15(5-3-1)27-19-16(12-24-20(26-19)25-14-6-7-14)17-10-13(11-23-17)18-21-8-9-22-18/h8-12,14-15,23H,1-7H2,(H,21,22)(H,24,25,26)",0.4774217307567596,0.44,0.18909091
