"PLATE_NUMBER","PLATE_NAME","DISPLAY_NAME","CONC","CONC_UNIT","LAYER","RESULT",
1,"BXPC3","8020-7617",0.2,"uM","% Inhibition Avg",-4.2273,
1,"BXPC3","8020-7617",0.067,"uM","% Inhibition Avg",1.2106,
1,"BXPC3","8020-7617",0.00333,"uM","% Inhibition Avg",2.6032,
3,"CAPAN2","8020-7617",8,"uM","% Inhibition Avg",26.954,
3,"CAPAN2","8020-7617",4,"uM","% Inhibition Avg",19.976,
3,"CAPAN2","8020-7617",2,"uM","% Inhibition Avg",21.695,
3,"CAPAN2","8020-7617",0.67,"uM","% Inhibition Avg",7.0826,
3,"CAPAN2","8020-7617",0.2,"uM","% Inhibition Avg",3.6785,
3,"CAPAN2","8020-7617",0.067,"uM","% Inhibition Avg",4.8958,
3,"CAPAN2","8020-7617",0.00333,"uM","% Inhibition Avg",5.236,
3,"CAPAN2","8020-7617",8,"uM","% Inhibition Avg",20.278,
3,"CAPAN2","8020-7617",4,"uM","% Inhibition Avg",11.747,
3,"CAPAN2","8020-7617",2,"uM","% Inhibition Avg",13.034,
3,"CAPAN2","8020-7617",0.67,"uM","% Inhibition Avg",4.268,
3,"CAPAN2","8020-7617",0.2,"uM","% Inhibition Avg",6.6001,
3,"CAPAN2","8020-7617",0.067,"uM","% Inhibition Avg",-3.2368,
3,"CAPAN2","8020-7617",0.00333,"uM","% Inhibition Avg",4.0486,
5,"CFPAC","8020-7617",8,"uM","% Inhibition Avg",53.906,
5,"CFPAC","8020-7617",4,"uM","% Inhibition Avg",50.359,
5,"CFPAC","8020-7617",2,"uM","% Inhibition Avg",48.603,
5,"CFPAC","8020-7617",0.67,"uM","% Inhibition Avg",31.015,
5,"CFPAC","8020-7617",0.2,"uM","% Inhibition Avg",13.107,
5,"CFPAC","8020-7617",0.067,"uM","% Inhibition Avg",10.526,
5,"CFPAC","8020-7617",0.00333,"uM","% Inhibition Avg",-0.84013,
5,"CFPAC","8020-7617",8,"uM","% Inhibition Avg",44.575,
5,"CFPAC","8020-7617",4,"uM","% Inhibition Avg",36.131,
5,"CFPAC","8020-7617",2,"uM","% Inhibition Avg",36.15,
5,"CFPAC","8020-7617",0.67,"uM","% Inhibition Avg",24.091,
5,"CFPAC","8020-7617",0.2,"uM","% Inhibition Avg",-4.0097,
5,"CFPAC","8020-7617",0.067,"uM","% Inhibition Avg",5.4113,
5,"CFPAC","8020-7617",0.00333,"uM","% Inhibition Avg",0.15126,
7,"HEK","8020-7617",8,"uM","% Inhibition Avg",61.087,
7,"HEK","8020-7617",4,"uM","% Inhibition Avg",61.391,
7,"HEK","8020-7617",2,"uM","% Inhibition Avg",58.039,
7,"HEK","8020-7617",0.67,"uM","% Inhibition Avg",56.248,
7,"HEK","8020-7617",0.2,"uM","% Inhibition Avg",26.54,
7,"HEK","8020-7617",0.067,"uM","% Inhibition Avg",21.469,
7,"HEK","8020-7617",0.00333,"uM","% Inhibition Avg",18.012,
7,"HEK","8020-7617",8,"uM","% Inhibition Avg",49.941,
7,"HEK","8020-7617",4,"uM","% Inhibition Avg",57.424,
7,"HEK","8020-7617",2,"uM","% Inhibition Avg",55.301,
7,"HEK","8020-7617",0.67,"uM","% Inhibition Avg",47.589,
7,"HEK","8020-7617",0.2,"uM","% Inhibition Avg",5.8335,
7,"HEK","8020-7617",0.067,"uM","% Inhibition Avg",-0.43753,
7,"HEK","8020-7617",0.00333,"uM","% Inhibition Avg",2.0965,
1,"BXPC3","8397-0127",40,"uM","% Inhibition Avg",22.366,
1,"BXPC3","8397-0127",20,"uM","% Inhibition Avg",10.147,
1,"BXPC3","8397-0127",10,"uM","% Inhibition Avg",7.8833,
1,"BXPC3","8397-0127",3.33,"uM","% Inhibition Avg",-11.924,
1,"BXPC3","8397-0127",1,"uM","% Inhibition Avg",-14.303,
1,"BXPC3","8397-0127",0.333,"uM","% Inhibition Avg",-19.264,
1,"BXPC3","8397-0127",0.01667,"uM","% Inhibition Avg",-10.743,
1,"BXPC3","8397-0127",40,"uM","% Inhibition Avg",28.866,
1,"BXPC3","8397-0127",20,"uM","% Inhibition Avg",17.665,
1,"BXPC3","8397-0127",10,"uM","% Inhibition Avg",8.9305,
1,"BXPC3","8397-0127",3.33,"uM","% Inhibition Avg",-7.9137,
1,"BXPC3","8397-0127",1,"uM","% Inhibition Avg",-13.457,
1,"BXPC3","8397-0127",0.333,"uM","% Inhibition Avg",-12.102,
1,"BXPC3","8397-0127",0.01667,"uM","% Inhibition Avg",-2.9335,
3,"CAPAN2","8397-0127",40,"uM","% Inhibition Avg",88.814,
3,"CAPAN2","8397-0127",20,"uM","% Inhibition Avg",86.555,
3,"CAPAN2","8397-0127",10,"uM","% Inhibition Avg",46.596,
3,"CAPAN2","8397-0127",3.33,"uM","% Inhibition Avg",-0.16937,
3,"CAPAN2","8397-0127",1,"uM","% Inhibition Avg",-7.8588,
3,"CAPAN2","8397-0127",0.333,"uM","% Inhibition Avg",-6.7498,
3,"CAPAN2","8397-0127",0.01667,"uM","% Inhibition Avg",-2.1871,
3,"CAPAN2","8397-0127",40,"uM","% Inhibition Avg",87.041,
3,"CAPAN2","8397-0127",20,"uM","% Inhibition Avg",86.966,
3,"CAPAN2","8397-0127",10,"uM","% Inhibition Avg",48.707,
3,"CAPAN2","8397-0127",3.33,"uM","% Inhibition Avg",-7.1212,
3,"CAPAN2","8397-0127",1,"uM","% Inhibition Avg",-17.553,
3,"CAPAN2","8397-0127",0.333,"uM","% Inhibition Avg",-1.9303,
3,"CAPAN2","8397-0127",0.01667,"uM","% Inhibition Avg",-4.8685,
5,"CFPAC","8397-0127",40,"uM","% Inhibition Avg",38.462,
5,"CFPAC","8397-0127",20,"uM","% Inhibition Avg",47.989,
5,"CFPAC","8397-0127",10,"uM","% Inhibition Avg",17.246,
5,"CFPAC","8397-0127",3.33,"uM","% Inhibition Avg",-13.375,
5,"CFPAC","8397-0127",1,"uM","% Inhibition Avg",-1.8931,
5,"CFPAC","8397-0127",0.333,"uM","% Inhibition Avg",-10.998,
5,"CFPAC","8397-0127",0.01667,"uM","% Inhibition Avg",-8.8925,
5,"CFPAC","8397-0127",40,"uM","% Inhibition Avg",48.184,
5,"CFPAC","8397-0127",20,"uM","% Inhibition Avg",42.744,
5,"CFPAC","8397-0127",10,"uM","% Inhibition Avg",28.992,
5,"CFPAC","8397-0127",3.33,"uM","% Inhibition Avg",-3.9859,
5,"CFPAC","8397-0127",1,"uM","% Inhibition Avg",-12.056,
5,"CFPAC","8397-0127",0.333,"uM","% Inhibition Avg",-11.719,
5,"CFPAC","8397-0127",0.01667,"uM","% Inhibition Avg",-12.784,
7,"HEK","8397-0127",40,"uM","% Inhibition Avg",74.644,
7,"HEK","8397-0127",20,"uM","% Inhibition Avg",81.216,
7,"HEK","8397-0127",10,"uM","% Inhibition Avg",63.039,
7,"HEK","8397-0127",3.33,"uM","% Inhibition Avg",28.185,
7,"HEK","8397-0127",1,"uM","% Inhibition Avg",-1.5478,
7,"HEK","8397-0127",0.333,"uM","% Inhibition Avg",-23.265,
7,"HEK","8397-0127",0.01667,"uM","% Inhibition Avg",-15.317,
7,"HEK","8397-0127",40,"uM","% Inhibition Avg",76.735,
7,"HEK","8397-0127",20,"uM","% Inhibition Avg",78.665,
7,"HEK","8397-0127",10,"uM","% Inhibition Avg",68.667,
7,"HEK","8397-0127",3.33,"uM","% Inhibition Avg",17.627,
7,"HEK","8397-0127",1,"uM","% Inhibition Avg",-15.136,
7,"HEK","8397-0127",0.333,"uM","% Inhibition Avg",-15.312,
7,"HEK","8397-0127",0.01667,"uM","% Inhibition Avg",-16.454,
1,"BXPC3","8397-0665",40,"uM","% Inhibition Avg",22.366,
1,"BXPC3","8397-0665",20,"uM","% Inhibition Avg",15.813,
1,"BXPC3","8397-0665",10,"uM","% Inhibition Avg",3.8151,
1,"BXPC3","8397-0665",3.33,"uM","% Inhibition Avg",-8.7382,
1,"BXPC3","8397-0665",1,"uM","% Inhibition Avg",-8.3637,
1,"BXPC3","8397-0665",0.333,"uM","% Inhibition Avg",-15.3,
1,"BXPC3","8397-0665",0.01667,"uM","% Inhibition Avg",-9.6462,
1,"BXPC3","8397-0665",40,"uM","% Inhibition Avg",24.456,
1,"BXPC3","8397-0665",20,"uM","% Inhibition Avg",10.755,
1,"BXPC3","8397-0665",10,"uM","% Inhibition Avg",6.5257,
1,"BXPC3","8397-0665",3.33,"uM","% Inhibition Avg",-8.8633,
1,"BXPC3","8397-0665",1,"uM","% Inhibition Avg",-8.9553,
1,"BXPC3","8397-0665",0.333,"uM","% Inhibition Avg",-9.4279,
1,"BXPC3","8397-0665",0.01667,"uM","% Inhibition Avg",-4.7354,
3,"CAPAN2","8397-0665",40,"uM","% Inhibition Avg",89.874,
3,"CAPAN2","8397-0665",20,"uM","% Inhibition Avg",90.244,
3,"CAPAN2","8397-0665",10,"uM","% Inhibition Avg",70.637,
3,"CAPAN2","8397-0665",3.33,"uM","% Inhibition Avg",3.0185,
3,"CAPAN2","8397-0665",1,"uM","% Inhibition Avg",-7.0963,
3,"CAPAN2","8397-0665",0.333,"uM","% Inhibition Avg",-8.3274,
3,"CAPAN2","8397-0665",0.01667,"uM","% Inhibition Avg",-5.932,
3,"CAPAN2","8397-0665",40,"uM","% Inhibition Avg",90.892,
3,"CAPAN2","8397-0665",20,"uM","% Inhibition Avg",91.954,
3,"CAPAN2","8397-0665",10,"uM","% Inhibition Avg",70.956,
3,"CAPAN2","8397-0665",3.33,"uM","% Inhibition Avg",1.209,
3,"CAPAN2","8397-0665",1,"uM","% Inhibition Avg",-4.1278,
3,"CAPAN2","8397-0665",0.333,"uM","% Inhibition Avg",-2.3584,
3,"CAPAN2","8397-0665",0.01667,"uM","% Inhibition Avg",0.92714,
5,"CFPAC","8397-0665",40,"uM","% Inhibition Avg",39.181,
5,"CFPAC","8397-0665",20,"uM","% Inhibition Avg",35.254,
5,"CFPAC","8397-0665",10,"uM","% Inhibition Avg",18.671,
5,"CFPAC","8397-0665",3.33,"uM","% Inhibition Avg",-8.871,
